,UniProt ID,Nb_interactions,Gene Name,Name
644,P68371,6,TUBB4B,Tubulin beta-4B chain
645,Q9UBN7,6,HDAC6,Histone deacetylase 6
647,P20648,6,ATP4A,Potassium-transporting ATPase alpha chain 1
648,Q9NZD4,6,AHSP,Alpha-hemoglobin-stabilizing protein
649,P07948,6,LYN,Tyrosine-protein kinase Lyn
650,O60218,6,AKR1B10,Aldo-keto reductase family 1 member B10
651,P16066,6,NPR1,Atrial natriuretic peptide receptor 1
652,Q16665,6,HIF1A,Hypoxia-inducible factor 1-alpha
653,P55055,6,NR1H2,Oxysterols receptor LXR-beta
654,P02763,6,ORM1,Alpha-1-acid glycoprotein 1
656,P80188,6,LCN2,Neutrophil gelatinase-associated lipocalin
657,P07237,6,P4HB,Protein disulfide-isomerase
658,P33402,6,GUCY1A2,Guanylate cyclase soluble subunit alpha-2
659,P17174,6,GOT1,"Aspartate aminotransferase, cytoplasmic"
660,Q693P7,6,CHRNA7,Alpha-7 nicotinic cholinergic receptor subunit
661,P07101,6,TH,Tyrosine 3-monooxygenase
662,Q9NY72,6,SCN3B,Sodium channel subunit beta-3
664,P68104,6,EEF1A1,Elongation factor 1-alpha 1
665,Q9UK17,6,KCND3,Potassium voltage-gated channel subfamily D member 3
666,P42336,6,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
667,P26358,6,DNMT1,DNA (cytosine-5)-methyltransferase 1
668,Q14457,6,BECN1,Beclin-1
669,P25705,6,ATP5A1,"ATP synthase subunit alpha, mitochondrial"
670,P43166,6,CA7,Carbonic anhydrase 7
671,P43119,6,PTGIR,Prostacyclin receptor
672,Q14376,6,GALE,UDP-glucose 4-epimerase
673,P43088,6,PTGFR,Prostaglandin F2-alpha receptor
674,P46663,6,BDKRB1,B1 bradykinin receptor
675,P47712,6,PLA2G4A,Cytosolic phospholipase A2
676,P11802,6,CDK4,Cyclin-dependent kinase 4
677,O00408,6,PDE2A,"cGMP-dependent 3',5'-cyclic phosphodiesterase"
679,P12235,6,SLC25A4,ADP/ATP translocase 1
680,P00846,6,MT-ATP6,ATP synthase subunit a
681,Q13464,6,ROCK1,Rho-associated protein kinase 1
682,P68366,6,TUBA4A,Tubulin alpha-4A chain
683,P0DMS8,6,ADORA3,Adenosine receptor A3
684,P24530,6,EDNRB,Endothelin B receptor
685,P00492,6,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase
686,Q9UPY5,6,SLC7A11,Cystine/glutamate transporter
687,Q13370,6,PDE3B,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B"
690,P39748,6,FEN1,Flap endonuclease 1
691,P23416,6,GLRA2,Glycine receptor subunit alpha-2
693,P09488,6,GSTM1,Glutathione S-transferase Mu 1
694,Q13231,6,CHIT1,Chitotriosidase-1
695,Q16595,6,FXN,"Frataxin, mitochondrial"
696,Q13133,6,NR1H3,Oxysterols receptor LXR-alpha
697,P17900,6,GM2A,Ganglioside GM2 activator
698,P29034,6,S100A2,Protein S100-A2
699,P06870,6,KLK1,Kallikrein-1
700,Q06187,6,BTK,Tyrosine-protein kinase BTK
701,P06576,6,ATP5B,"ATP synthase subunit beta, mitochondrial"
702,P53350,6,PLK1,Serine/threonine-protein kinase PLK1
703,P03956,6,MMP1,Interstitial collagenase
704,Q7Z2W7,6,TRPM8,Transient receptor potential cation channel subfamily M member 8
705,P31040,6,SDHA,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
706,Q8IWT1,6,SCN4B,Sodium channel subunit beta-4
708,Q00534,6,CDK6,Cyclin-dependent kinase 6
709,Q8TCC7,6,SLC22A8,Solute carrier family 22 member 8
710,Q7Z406,6,MYH14,Myosin-14
711,Q8NET8,6,TRPV3,Transient receptor potential cation channel subfamily V member 3
712,P31151,6,S100A7,Protein S100-A7
713,P04637,6,TP53,Cellular tumor antigen p53
714,P52333,6,JAK3,Tyrosine-protein kinase JAK3
715,O60939,6,SCN2B,Sodium channel subunit beta-2
717,P30049,6,ATP5D,"ATP synthase subunit delta, mitochondrial"
718,P04629,6,NTRK1,High affinity nerve growth factor receptor
719,Q03013,6,GSTM4,Glutathione S-transferase Mu 4
720,Q9BQB6,6,VKORC1,Vitamin K epoxide reductase complex subunit 1
721,Q02763,6,TEK,Angiopoietin-1 receptor
722,P54687,6,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic"
723,Q01064,6,PDE1B,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
726,Q96RJ0,5,TAAR1,Trace amine-associated receptor 1
727,Q9H252,5,KCNH6,Potassium voltage-gated channel subfamily H member 6
729,P23526,5,AHCY,Adenosylhomocysteinase
730,Q16620,5,NTRK2,BDNF/NT-3 growth factors receptor
731,P48549,5,KCNJ3,G protein-activated inward rectifier potassium channel 1
732,P09871,5,C1S,Complement C1s subcomponent
733,P36542,5,ATP5C1,"ATP synthase subunit gamma, mitochondrial"
734,P29275,5,ADORA2B,Adenosine receptor A2b
735,Q9UQF2,5,MAPK8IP1,C-Jun-amino-terminal kinase-interacting protein 1
736,P08700,5,IL3,Interleukin-3
737,P08684,5,CYP3A4,Cytochrome P450 3A4
739,P39023,5,RPL3,60S ribosomal protein L3
740,P38606,5,ATP6V1A,V-type proton ATPase catalytic subunit A
741,Q13131,5,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1
743,P38435,5,GGCX,Vitamin K-dependent gamma-carboxylase
744,P00367,5,GLUD1,"Glutamate dehydrogenase 1, mitochondrial"
745,P63208,5,SKP1,S-phase kinase-associated protein 1
746,Q9UM07,5,PADI4,Protein-arginine deiminase type-4
747,P29218,5,IMPA1,Inositol monophosphatase 1
748,P23368,5,ME2,"NAD-dependent malic enzyme, mitochondrial"
749,P67775,5,PPP2CA,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
750,P48058,5,GRIA4,Glutamate receptor 4
751,P05091,5,ALDH2,"Aldehyde dehydrogenase, mitochondrial"
752,O15379,5,HDAC3,Histone deacetylase 3
754,Q99798,5,ACO2,"Aconitate hydratase, mitochondrial"
755,P05106,5,ITGB3,Integrin beta-3
756,P05109,5,S100A8,Protein S100-A8
757,P49286,5,MTNR1B,Melatonin receptor type 1B
758,P27797,5,CALR,Calreticulin
759,Q15825,5,CHRNA6,Neuronal acetylcholine receptor subunit alpha-6
760,Q15878,5,CACNA1E,Voltage-dependent R-type calcium channel subunit alpha-1E
763,P61927,5,RPL37,60S ribosomal protein L37
764,P30872,5,SSTR1,Somatostatin receptor type 1
765,Q99835,5,SMO,Smoothened homolog
766,Q9Y663,5,HS3ST3A1,Heparan sulfate glucosamine 3-O-sulfotransferase 3A1
767,Q14353,5,GAMT,Guanidinoacetate N-methyltransferase
768,Q9BZX2,5,UCK2,Uridine-cytidine kinase 2
769,P01112,5,HRAS,GTPase HRas
770,P43115,5,PTGER3,Prostaglandin E2 receptor EP3 subtype
771,P11586,5,MTHFD1,"C-1-tetrahydrofolate synthase, cytoplasmic"
772,P43116,5,PTGER2,Prostaglandin E2 receptor EP2 subtype
773,Q9Y6F1,5,PARP3,Poly [ADP-ribose] polymerase 3
774,P11509,5,CYP2A6,Cytochrome P450 2A6
775,Q14500,5,KCNJ12,ATP-sensitive inward rectifier potassium channel 12
778,Q00987,5,MDM2,E3 ubiquitin-protein ligase Mdm2
779,P01024,5,C3,Complement C3
780,P01023,5,A2M,Alpha-2-macroglobulin
781,O75899,5,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2
782,Q14289,5,PTK2B,Protein-tyrosine kinase 2-beta
783,P0CG22,5,DHRS4L1,Putative dehydrogenase/reductase SDR family member 4-like 1
784,Q13946,5,PDE7A,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A"
786,P54750,5,PDE1A,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
788,Q9UGN5,5,PARP2,Poly [ADP-ribose] polymerase 2
789,P27169,5,PON1,Serum paraoxonase/arylesterase 1
790,P48039,5,MTNR1A,Melatonin receptor type 1A
791,P04745,5,AMY1A,Alpha-amylase 1
792,P13639,5,EEF2,Elongation factor 2
793,Q8IZS8,5,CACNA2D3,Voltage-dependent calcium channel subunit alpha-2/delta-3
795,P01308,5,INS,Insulin
796,P04731,5,MT1A,Metallothionein-1A
798,P00747,5,PLG,Plasminogen
799,P00748,5,F12,Coagulation factor XII
800,O00764,5,PDXK,Pyridoxal kinase
801,O00763,5,ACACB,Acetyl-CoA carboxylase 2
802,P00751,5,CFB,Complement factor B
803,Q9Y5N1,5,HRH3,Histamine H3 receptor
804,Q13126,5,MTAP,S-methyl-5'-thioadenosine phosphorylase
805,P52895,5,AKR1C2,Aldo-keto reductase family 1 member C2
806,P08631,5,HCK,Tyrosine-protein kinase HCK
807,P33527,5,ABCC1,Multidrug resistance-associated protein 1
808,P32929,5,CTH,Cystathionine gamma-lyase
809,P52209,5,PGD,"6-phosphogluconate dehydrogenase, decarboxylating"
810,P06396,5,GSN,Gelsolin
811,P07360,5,C8G,Complement component C8 gamma chain
812,P08069,5,IGF1R,Insulin-like growth factor 1 receptor
813,P07195,5,LDHB,L-lactate dehydrogenase B chain
814,Q06830,5,PRDX1,Peroxiredoxin-1
815,O75116,5,ROCK2,Rho-associated protein kinase 2
816,Q9NZD2,5,GLTP,Glycolipid transfer protein
817,P06213,5,INSR,Insulin receptor
818,Q04759,5,PRKCQ,Protein kinase C theta type
820,P07814,5,EPRS,Bifunctional glutamate/proline--tRNA ligase
821,O43570,5,CA12,Carbonic anhydrase 12
822,Q9NYK1,5,TLR7,Toll-like receptor 7
823,P07339,5,CTSD,Cathepsin D
824,P18405,5,SRD5A1,3-oxo-5-alpha-steroid 4-dehydrogenase 1
826,Q8WX39,5,LCN9,Epididymal-specific lipocalin-9
827,Q9UGM1,5,CHRNA9,Neuronal acetylcholine receptor subunit alpha-9
828,P16118,5,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1"
829,P30085,5,CMPK1,UMP-CMP kinase
830,Q99418,5,CYTH2,Cytohesin-2
831,Q9NXA8,5,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
832,Q99707,5,MTR,Methionine synthase
833,P02766,5,TTR,Transthyretin
834,P05177,5,CYP1A2,Cytochrome P450 1A2
835,Q7Z4J2,5,GLT6D1,Glycosyltransferase 6 domain-containing protein 1
836,P06733,5,ENO1,Alpha-enolase
837,P35557,5,GCK,Glucokinase
838,P49773,5,HINT1,Histidine triad nucleotide-binding protein 1
839,P35908,5,KRT2,"Keratin, type II cytoskeletal 2 epidermal"
840,Q16773,5,CCBL1,Kynurenine--oxoglutarate transaminase 1
841,P05164,5,MPO,Myeloperoxidase
842,P51681,5,CCR5,C-C chemokine receptor type 5
843,Q16790,5,CA9,Carbonic anhydrase 9
844,P16233,5,PNLIP,Pancreatic triacylglycerol lipase
845,Q9NS40,5,KCNH7,Potassium voltage-gated channel subfamily H member 7
847,Q10588,5,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
848,P01019,5,AGT,Angiotensinogen
849,Q6UWM7,5,LCTL,Lactase-like protein
850,P55011,4,SLC12A2,Solute carrier family 12 member 2
851,P17707,4,AMD1,S-adenosylmethionine decarboxylase proenzyme
852,P21817,4,RYR1,Ryanodine receptor 1
853,P11712,4,CYP2C9,Cytochrome P450 2C9
854,P30405,4,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
855,P47901,4,AVPR1B,Vasopressin V1b receptor
856,P62750,4,RPL23A,60S ribosomal protein L23a
857,Q08188,4,TGM3,Protein-glutamine gamma-glutamyltransferase E
858,P51787,4,KCNQ1,Potassium voltage-gated channel subfamily KQT member 1
859,P11413,4,G6PD,Glucose-6-phosphate 1-dehydrogenase
860,P30084,4,ECHS1,"Enoyl-CoA hydratase, mitochondrial"
861,P51857,4,AKR1D1,3-oxo-5-beta-steroid 4-dehydrogenase
862,P34897,4,SHMT2,"Serine hydroxymethyltransferase, mitochondrial"
863,P17735,4,TAT,Tyrosine aminotransferase
864,P51649,4,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial"
865,P25713,4,MT3,Metallothionein-3
867,P11766,4,ADH5,Alcohol dehydrogenase class-3
868,P42684,4,ABL2,Abelson tyrosine-protein kinase 2
869,P42685,4,FRK,Tyrosine-protein kinase FRK
870,Q13748,4,TUBA3C,Tubulin alpha-3C/D chain
871,Q06520,4,SULT2A1,Bile salt sulfotransferase
872,P31751,4,AKT2,RAC-beta serine/threonine-protein kinase
873,Q07912,4,TNK2,Activated CDC42 kinase 1
874,P51693,4,APLP1,Amyloid-like protein 1
875,P20711,4,DDC,Aromatic-L-amino-acid decarboxylase
876,P54219,4,SLC18A1,Chromaffin granule amine transporter
877,P32418,4,SLC8A1,Sodium/calcium exchanger 1
878,P32745,4,SSTR3,Somatostatin receptor type 3
879,P20231,4,TPSB2,Tryptase beta-2
880,P41240,4,CSK,Tyrosine-protein kinase CSK
881,P29622,4,SERPINA4,Kallistatin
882,Q13509,4,TUBB3,Tubulin beta-3 chain
883,P35520,4,CBS,Cystathionine beta-synthase
884,P19823,4,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2
885,P35527,4,KRT9,"Keratin, type I cytoskeletal 9"
886,P31415,4,CASQ1,Calsequestrin-1
887,Q0VD83,4,APOBR,Apolipoprotein B receptor
888,P31213,4,SRD5A2,3-oxo-5-alpha-steroid 4-dehydrogenase 2
890,P35558,4,PCK1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP]"
891,P29317,4,EPHA2,Ephrin type-A receptor 2
892,P50213,4,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
893,P49411,4,TUFM,"Elongation factor Tu, mitochondrial"
894,P22792,4,CPN2,Carboxypeptidase N subunit 2
895,Q05655,4,PRKCD,Protein kinase C delta type
897,P49888,4,SULT1E1,Estrogen sulfotransferase
898,P19367,4,HK1,Hexokinase-1
899,P35858,4,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit
900,P22676,4,CALB2,Calretinin
901,P31350,4,RRM2,Ribonucleoside-diphosphate reductase subunit M2
902,P36507,4,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2
903,P15169,4,CPN1,Carboxypeptidase N catalytic chain
904,P30101,4,PDIA3,Protein disulfide-isomerase A3
905,P35408,4,PTGER4,Prostaglandin E2 receptor EP4 subtype
906,Q04609,4,FOLH1,Glutamate carboxypeptidase 2
907,P20813,4,CYP2B6,Cytochrome P450 2B6
908,P13645,4,KRT10,"Keratin, type I cytoskeletal 10"
909,P13674,4,P4HA1,Prolyl 4-hydroxylase subunit alpha-1
910,Q13423,4,NNT,"NAD(P) transhydrogenase, mitochondrial"
911,P35218,4,CA5A,"Carbonic anhydrase 5A, mitochondrial"
912,P15924,4,DSP,Desmoplakin
913,P24298,4,GPT,Alanine aminotransferase 1
914,P13929,4,ENO3,Beta-enolase
915,P50613,4,CDK7,Cyclin-dependent kinase 7
916,Q08881,4,ITK,Tyrosine-protein kinase ITK/TSK
917,P53355,4,DAPK1,Death-associated protein kinase 1
918,P23946,4,CMA1,Chymase
919,P78330,4,PSPH,Phosphoserine phosphatase
920,P23467,4,PTPRB,Receptor-type tyrosine-protein phosphatase beta
921,P31639,4,SLC5A2,Sodium/glucose cotransporter 2
922,P14210,4,HGF,Hepatocyte growth factor
923,P28161,4,GSTM2,Glutathione S-transferase Mu 2
924,P35270,4,SPR,Sepiapterin reductase
925,P53582,4,METAP1,Methionine aminopeptidase 1
926,P55157,4,MTTP,Microsomal triglyceride transfer protein large subunit
927,Q9Y6Y9,4,LY96,Lymphocyte antigen 96
928,P45381,4,ASPA,Aspartoacylase
929,P07358,4,C8B,Complement component C8 beta chain
930,Q96RQ9,4,IL4I1,L-amino-acid oxidase
931,P05412,4,JUN,Transcription factor AP-1
933,P05546,4,SERPIND1,Heparin cofactor 2
934,P05981,4,HPN,Serine protease hepsin
935,P06702,4,S100A9,Protein S100-A9
936,P06727,4,APOA4,Apolipoprotein A-IV
937,P06730,4,EIF4E,Eukaryotic translation initiation factor 4E
938,P06732,4,CKM,Creatine kinase M-type
939,O94760,4,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
940,O76083,4,PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"
942,O76054,4,SEC14L2,SEC14-like protein 2
943,Q9BYV1,4,AGXT2,"Alanine--glyoxylate aminotransferase 2, mitochondrial"
944,P02652,4,APOA2,Apolipoprotein A-II
945,P07327,4,ADH1A,Alcohol dehydrogenase 1A
946,Q494W8,4,CHRFAM7A,CHRNA7-FAM7A fusion protein
947,P05156,4,CFI,Complement factor I
948,Q9NPD5,4,SLCO1B3,Solute carrier organic anion transporter family member 1B3
949,P07686,4,HEXB,Beta-hexosaminidase subunit beta
950,Q9NSA0,4,SLC22A11,Solute carrier family 22 member 11
951,P07741,4,APRT,Adenine phosphoribosyltransferase
952,Q16850,4,CYP51A1,Lanosterol 14-alpha demethylase
953,P08185,4,SERPINA6,Corticosteroid-binding globulin
954,O60551,4,NMT2,Glycylpeptide N-tetradecanoyltransferase 2
955,Q9NWZ5,4,UCKL1,Uridine-cytidine kinase-like 1
956,P08243,4,ASNS,Asparagine synthetase [glutamine-hydrolyzing]
957,P08253,4,MMP2,72 kDa type IV collagenase
958,P08603,4,CFH,Complement factor H
959,O43525,4,KCNQ3,Potassium voltage-gated channel subfamily KQT member 3
960,Q9UDR5,4,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial"
961,O43293,4,DAPK3,Death-associated protein kinase 3
962,Q96PD5,4,PGLYRP2,N-acetylmuramoyl-L-alanine amidase
963,O95954,4,FTCD,Formimidoyltransferase-cyclodeaminase
964,P09382,4,LGALS1,Galectin-1
965,P04004,4,VTN,Vitronectin
966,P02649,4,APOE,Apolipoprotein E
967,P02689,4,PMP2,Myelin P2 protein
968,Q8WY07,4,SLC7A3,Cationic amino acid transporter 3
969,P02647,4,APOA1,Apolipoprotein A-I
970,P02747,4,C1QC,Complement C1q subcomponent subunit C
971,P02765,4,AHSG,Alpha-2-HS-glycoprotein
972,Q8TF76,4,GSG2,Serine/threonine-protein kinase haspin
973,P02792,4,FTL,Ferritin light chain
974,P02795,4,MT2A,Metallothionein-2
976,P02818,4,BGLAP,Osteocalcin
977,P01619,4,,Ig kappa chain V-III region GOL
978,Q8TD30,4,GPT2,Alanine aminotransferase 2
979,P03952,4,KLKB1,Plasma kallikrein
980,P04003,4,C4BPA,C4b-binding protein alpha chain
981,P11274,4,BCR,Breakpoint cluster region protein
982,P00352,4,ALDH1A1,Retinal dehydrogenase 1
983,P04049,4,RAF1,RAF proto-oncogene serine/threonine-protein kinase
984,P04070,4,PROC,Vitamin K-dependent protein C
985,P01042,4,KNG1,Kininogen-1
986,P01031,4,C5,Complement C5
987,P04181,4,OAT,"Ornithine aminotransferase, mitochondrial"
988,P00966,4,ASS1,Argininosuccinate synthase
989,P04217,4,A1BG,Alpha-1B-glycoprotein
990,P04264,4,KRT1,"Keratin, type II cytoskeletal 1"
991,P00750,4,PLAT,Tissue-type plasminogen activator
992,P00739,4,HPR,Haptoglobin-related protein
993,Q96GD4,4,AURKB,Aurora kinase B
994,P00558,4,PGK1,Phosphoglycerate kinase 1
995,P00505,4,GOT2,"Aspartate aminotransferase, mitochondrial"
996,P00480,4,OTC,"Ornithine carbamoyltransferase, mitochondrial"
997,P09237,4,MMP7,Matrilysin
998,P02671,4,FGA,Fibrinogen alpha chain
1000,P10909,4,CLU,Clusterin
1001,O00204,4,SULT2B1,Sulfotransferase family cytosolic 2B member 1
1002,Q9UNX9,4,KCNJ14,ATP-sensitive inward rectifier potassium channel 14
1004,Q9UKM7,4,MAN1B1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase"
1005,Q14749,4,GNMT,Glycine N-methyltransferase
1006,Q9Y698,4,CACNG2,Voltage-dependent calcium channel gamma-2 subunit
1008,Q9Y2T6,4,GPR55,G-protein coupled receptor 55
1009,P09668,4,CTSH,Pro-cathepsin H
1010,P09884,4,POLA1,DNA polymerase alpha catalytic subunit
1011,Q9Y3R4,4,NEU2,Sialidase-2
1012,P11142,4,HSPA8,Heat shock cognate 71 kDa protein
1013,P0C0L5,4,C4B,Complement C4-B
1014,Q9Y691,4,KCNMB2,Calcium-activated potassium channel subunit beta-2
1016,O14521,4,SDHD,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"
1017,Q9Y478,4,PRKAB1,5'-AMP-activated protein kinase subunit beta-1
1019,O14983,4,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
1020,Q9Y5S1,4,TRPV2,Transient receptor potential cation channel subfamily V member 2
1021,P10636,4,MAPT,Microtubule-associated protein tau
1022,Q15303,4,ERBB4,Receptor tyrosine-protein kinase erbB-4
1023,O15111,4,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha
1024,Q14534,4,SQLE,Squalene monooxygenase
1025,Q9Y6M4,4,CSNK1G3,Casein kinase I isoform gamma-3
1026,Q16348,4,SLC15A2,Solute carrier family 15 member 2
1027,O14732,4,IMPA2,Inositol monophosphatase 2
1028,Q9UQM7,4,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha
1029,P00403,3,MT-CO2,Cytochrome c oxidase subunit 2
1030,Q96Q40,3,CDK15,Cyclin-dependent kinase 15
1031,P61769,3,B2M,Beta-2-microglobulin
1032,Q96P88,3,GNRHR2,Putative gonadotropin-releasing hormone II receptor
1033,P41594,3,GRM5,Metabotropic glutamate receptor 5
1034,P28838,3,LAP3,Cytosol aminopeptidase
1035,P48050,3,KCNJ4,Inward rectifier potassium channel 4
1037,P48051,3,KCNJ6,G protein-activated inward rectifier potassium channel 2
1038,P01008,3,SERPINC1,Antithrombin-III
1039,P61313,3,RPL15,60S ribosomal protein L15
1040,P62166,3,NCS1,Neuronal calcium sensor 1
1041,P25963,3,NFKBIA,NF-kappa-B inhibitor alpha
1042,P62312,3,LSM6,U6 snRNA-associated Sm-like protein LSm6
1043,P47898,3,HTR5A,5-hydroxytryptamine receptor 5A
1044,P62330,3,ARF6,ADP-ribosylation factor 6
1045,P01011,3,SERPINA3,Alpha-1-antichymotrypsin
1046,O14594,3,NCAN,Neurocan core protein
1047,P00736,3,C1R,Complement C1r subcomponent
1048,O14618,3,CCS,Copper chaperone for superoxide dismutase
1049,P00395,3,MT-CO1,Cytochrome c oxidase subunit 1
1050,P28074,3,PSMB5,Proteasome subunit beta type-5
1051,P00387,3,CYB5R3,NADH-cytochrome b5 reductase 3
1052,Q9Y2I1,3,NISCH,Nischarin
1053,P27986,3,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha
1054,P41743,3,PRKCI,Protein kinase C iota type
1056,P27824,3,CANX,Calnexin
1057,P27816,3,MAP4,Microtubule-associated protein 4
1058,O00264,3,PGRMC1,Membrane-associated progesterone receptor component 1
1060,O14717,3,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase
1061,Q96L12,3,CALR3,Calreticulin-3
1062,Q96L21,3,RPL10L,60S ribosomal protein L10-like
1063,P27707,3,DCK,Deoxycytidine kinase
1064,P61073,3,CXCR4,C-X-C chemokine receptor type 4
1065,P28676,3,GCA,Grancalcin
1066,Q96FQ6,3,S100A16,Protein S100-A16
1067,P49761,3,CLK3,Dual specificity protein kinase CLK3
1068,P46939,3,UTRN,Utrophin
1069,P62714,3,PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
1070,P63252,3,KCNJ2,Inward rectifier potassium channel 2
1072,P23677,3,ITPKA,Inositol-trisphosphate 3-kinase A
1073,P43155,3,CRAT,Carnitine O-acetyltransferase
1074,P23560,3,BDNF,Brain-derived neurotrophic factor
1075,P23528,3,CFL1,Cofilin-1
1076,P23434,3,GCSH,"Glycine cleavage system H protein, mitochondrial"
1077,Q92847,3,GHSR,Growth hormone secretagogue receptor type 1
1078,P23381,3,WARS,"Tryptophan--tRNA ligase, cytoplasmic"
1079,P01871,3,IGHM,Ig mu chain C region
1080,P01876,3,IGHA1,Ig alpha-1 chain C region
1081,P23280,3,CA6,Carbonic anhydrase 6
1082,P01116,3,KRAS,GTPase KRas
1083,Q92831,3,KAT2B,Histone acetyltransferase KAT2B
1084,P02533,3,KRT14,"Keratin, type I cytoskeletal 14"
1085,P23083,3,IGHV1-2,Immunoglobulin heavy variable 1-2
1086,P02538,3,KRT6A,"Keratin, type II cytoskeletal 6A"
1087,P02585,3,TNNC2,"Troponin C, skeletal muscle"
1088,O00142,3,TK2,"Thymidine kinase 2, mitochondrial"
1089,O00141,3,SGK1,Serine/threonine-protein kinase Sgk1
1090,Q9Y6L6,3,SLCO1B1,Solute carrier organic anion transporter family member 1B1
1091,P68363,3,TUBA1B,Tubulin alpha-1B chain
1092,O00180,3,KCNK1,Potassium channel subfamily K member 1
1093,P23743,3,DGKA,Diacylglycerol kinase alpha
1094,Q92952,3,KCNN1,Small conductance calcium-activated potassium channel protein 1
1096,P01599,3,IGKV1-17,Immunoglobulin kappa variable 1-17
1097,P25105,3,PTAFR,Platelet-activating factor receptor
1098,P01133,3,EGF,Pro-epidermal growth factor
1099,P62829,3,RPL23,60S ribosomal protein L23
1100,P29371,3,TACR3,Neuromedin-K receptor
1101,P46926,3,GNPDA1,Glucosamine-6-phosphate isomerase 1
1102,P62917,3,RPL8,60S ribosomal protein L8
1103,P01189,3,POMC,Pro-opiomelanocortin
1104,P46736,3,BRCC3,Lys-63-specific deubiquitinase BRCC36
1105,Q969S8,3,HDAC10,Histone deacetylase 10
1107,P24752,3,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial"
1108,P01303,3,NPY,Pro-neuropeptide Y
1109,Q9Y697,3,NFS1,"Cysteine desulfurase, mitochondrial"
1110,P24557,3,TBXAS1,Thromboxane-A synthase
1111,P24462,3,CYP3A7,Cytochrome P450 3A7
1113,P24385,3,CCND1,G1/S-specific cyclin-D1
1114,P62955,3,CACNG7,Voltage-dependent calcium channel gamma-7 subunit
1115,P63000,3,RAC1,Ras-related C3 botulinum toxin substrate 1
1117,P01591,3,JCHAIN,Immunoglobulin J chain
1118,Q93088,3,BHMT,Betaine--homocysteine S-methyltransferase 1
1119,O95718,3,ESRRB,Steroid hormone receptor ERR2
1120,Q96T66,3,NMNAT3,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3
1121,P29372,3,MPG,DNA-3-methyladenine glycosylase
1122,P50416,3,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform"
1123,Q9NYX4,3,CALY,Neuron-specific vesicular protein calcyon
1124,O60359,3,CACNG3,Voltage-dependent calcium channel gamma-3 subunit
1125,O15350,3,TP73,Tumor protein p73
1126,P51003,3,PAPOLA,Poly(A) polymerase alpha
1127,O60488,3,ACSL4,Long-chain-fatty-acid--CoA ligase 4
1128,O15304,3,SIVA1,Apoptosis regulatory protein Siva
1129,Q9UKV0,3,HDAC9,Histone deacetylase 9
1131,Q9NVS9,3,PNPO,Pyridoxine-5'-phosphate oxidase
1132,Q9UL51,3,HCN2,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
1133,P51161,3,FABP6,Gastrotropin
1134,P33981,3,TTK,Dual specificity protein kinase TTK
1135,Q9ULB1,3,NRXN1,Neurexin-1
1136,O60658,3,PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"
1138,Q9ULU8,3,CADPS,Calcium-dependent secretion activator 1
1139,Q9NS75,3,CYSLTR2,Cysteinyl leukotriene receptor 2
